Product name,Product description,Product link,Unit Price (INR),Amount,Total (INR)
Radiomaster Pocket,ELRS Controller (Transparent),https://robu.in/product/radiomaster-pocket-radio-controller-elrs-charcoal/,6356,1,6356
Matrix 1S FC,AIO Flight Controller (5-in-1),https://betafpv.com/products/matrix-1s-brushless-flight-controller,4626.18,1,10982.18
LAVA 1S 450mAh Battery,High-discharge LiPo (4-Pack),https://betafpv.com/products/lava-1s-450mAh-75c-battery-4pcs,1664.83,1,12647.01
0802SE Brushless Motors,19500KV (2022 Version),https://betafpv.com/products/0802se-brushless-motors-2022-version,3608.21,1,16255.22
5.8G OTG Receiver,UVC Receiver for Android Phone,https://loftyagrotech.com/5-8g-fpv-otg-receiver-for-android/,4100,1,20355.22
BetaFPV 6-Port Charger,1S LiPo/LiHV Charger & Adapter,https://betafpv.com/products/bt2-0-ph2-0-1s-lipo-charger-adapter,1109.58,1,21464.8
Gemfan 1219S 3-Blade Propellers (1.0mm Shaft),an ideal choice for high-speed rotating,https://betafpv.com/products/gemfan-1219s-3-blade-propellers-1-0mm-shaft?variant=41018473054342,831.95,1,22296.75
Camera C03,FPV Micro Camera,https://betafpv.com/products/c03-fpv-micro-camera,1109.58,1,23406.33
BT2.0 Whoop Pigtail,Battery Connector (Pack of 6),https://robu.in/product/betafpv-bt2-0-whoop-cable-pigtail-6pcs/,646.84,1,24053.17
Air75 II Frame,75mm Whoop Frame (Black),https://betafpv.com/products/air75-ii-brushless-whoop-frame,461.78,2,24514.95
Heat Shrink 1mm Red,WOER HST (1M),https://robu.in/product/heat-shrink-sleeve-1mm-red-industrial-grade-woer-hst/,10,1,24524.95
Heat Shrink 2mm Red,WOER HST (1M),https://robu.in/product/heat-shrink-sleeve-2mm-red-industrial-grade-woer-hst/,12,1,24536.95
Heat Shrink 3mm Red,WOER HST (1M),https://robu.in/product/heat-shrink-sleeve-3mm-red-industrial-grade-woer-hst/,7,1,24543.95
Heat Shrink 4mm Red,WOER HST (1M),https://robu.in/product/heat-shrink-sleeve-4mm-red-industrial-grade-woer-hst/,18,1,24561.95
Heat Shrink 5mm Red,WOER HST (1M),https://robu.in/product/heat-shrink-sleeve-5mm-red-industrial-grade-woer-hst/,23,1,24584.95
Heat Shrink 8mm Red,WOER HST (1M),https://robu.in/product/heat-shrink-sleeve-8mm-red-industrial-grade-woer-hst/,29,1,24613.95
22AWG Flex Wire Black,Power Wiring (Negative),https://robu.in/product/high-quality-ultra-flexible-22awg-silicone-wire-1000m-black/,18,3,24631.95
22AWG Flex Wire Red,Power Wiring (Positive),https://robu.in/product/high-quality-ultra-flexible-22awg-silicone-wire-1500m-red/,18,3,24649.95
30AWG Flex Wire Red,Signal/Camera Wiring,https://robu.in/product/30awg-high-quality-ultra-flexible-silicone-wire-red/,5,4,24654.95
Eachine EV800 FPV Goggles – Black,fpv goggles,https://robu.in/product/eachine-ev800-fpv-goggles-black/,"7,960.00",1,32614.95
,,,,,
